interview_id,role,person
Fictional/Peterson_Zizek,interviewer,Slavoj Zizek
Fictional/Peterson_Zizek,interviewee,Jordan Peterson
Issue01/Carhart-Harris_Fortier_Milliere,interviewee,Robin Carhart-Harris
Issue01/Carhart-Harris_Fortier_Milliere,interviewer,Martin Fortier
Issue01/Carhart-Harris_Fortier_Milliere,interviewer,Raphael Milliere
Issue01/Hohwy_Koroma,interviewee,Jakob Hohwy
Issue01/Hohwy_Koroma,interviewer,Matthieu Koroma
Issue01/Luhrmann_Fortier,interviewee,Tanya Luhrmann
Issue01/Luhrmann_Fortier,interviewer,Martin Fortier
Issue01/McCarthy-Jones_Frerejouan,interviewee,Simon McCarthy-Jones
Issue01/McCarthy-Jones_Frerejouan,interviewer,Mathieu Frerejouan
Issue01/Seligman_Halloy,interviewee,Rebecca Seligman
Issue01/Seligman_Halloy,interviewer,Arnaud Halloy
Issue01/Windt_Bucci_Milliere,interviewee,Jennifer Windt
Issue01/Windt_Bucci_Milliere,interviewer,Alessio Bucci
Issue01/Windt_Bucci_Milliere,interviewer,Raphael Milliere
Issue02/Fox_Koroma,interviewee,Kieran Fox
Issue02/Fox_Koroma,interviewer,Matthieu Koroma
Issue02/Friston,interviewee,Karl Friston
Issue02/Friston,interviewer,Martin Fortier
Issue02/Friston,interviewer,Matthieu Koroma
Issue02/Friston,interviewer,Raphael Milliere
Issue02/Friston_Fortier_Friedman,interviewee,Karl Friston
Issue02/Friston_Fortier_Friedman,interviewer,Martin Fortier
Issue02/Friston_Fortier_Friedman,interviewer,Daniel A. Friedman
Issue02/Metzinger_Limanowski_Milliere,interviewee,Thomas Metzinger
Issue02/Metzinger_Limanowski_Milliere,interviewer,Jakub Limanowski
Issue02/Metzinger_Limanowski_Milliere,interviewer,Raphael Milliere
Issue02/Nichols_Roseman_Timmermann,interviewee,David E. Nichols
Issue02/Nichols_Roseman_Timmermann,interviewer,Leor Roseman
Issue02/Nichols_Roseman_Timmermann,interviewer,Christopher Timmermann
Issue02/ORegan_Erickson-Davis,interviewee,Kevin O'Regan
Issue02/ORegan_Erickson-Davis,interviewer,Cordelia Erickson-Davis
Issue02/Ratcliffe_Frerejouan,interviewee,Matthew Ratcliffe
Issue02/Ratcliffe_Frerejouan,interviewer,Mathieu Frerejouan
Issue02/Taves_Fortier_Canna,interviewee,Ann Taves
Issue02/Taves_Fortier_Canna,interviewer,Martin Fortier
Issue02/Taves_Fortier_Canna,interviewer,Maddalena Canna
Issue03/Bayne_Bucci_Koroma,interviewee,Tim Bayne
Issue03/Bayne_Bucci_Koroma,interviewer,Alessio Bucci
Issue03/Bayne_Bucci_Koroma,interviewer,Matthieu Koroma
Issue03/Dennett_Fleig-Goldstein_Friedman,interviewee,Daniel Dennett
