interview_slug,interview_id,qa_count,renderable,candidate_only_profiles,missing_profiles,profile_reference_failures,kokoclone_rendered_mp3,kokoclone_probe_status,kokoclone_asr_spotcheck_result,voices
Issue01_Carhart-Harris_Fortier_Milliere,Issue01/Carhart-Harris_Fortier_Milliere,19,yes,martin_fortier;robin_carhart_harris,,,no,missing_mp3,,martin_fortier:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no; robin_carhart_harris:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no
Issue01_Hohwy_Koroma,Issue01/Hohwy_Koroma,10,yes,jakob_hohwy,,,no,missing_mp3,,matthieu_koroma:working//gate=warn/ref=yes/fallback=no; jakob_hohwy:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no
Issue01_Luhrmann_Fortier,Issue01/Luhrmann_Fortier,6,yes,martin_fortier;tanya_luhrmann,,,no,missing_mp3,,martin_fortier:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no; tanya_luhrmann:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no
Issue01_McCarthy-Jones_Frerejouan,Issue01/McCarthy-Jones_Frerejouan,5,yes,mathieu_frerejouan;simon_mccarthy_jones,,,no,missing_mp3,,mathieu_frerejouan:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no; simon_mccarthy_jones:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no
Issue01_Seligman_Halloy,Issue01/Seligman_Halloy,5,yes,arnaud_halloy;rebecca_seligman,,,no,missing_mp3,,arnaud_halloy:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no; rebecca_seligman:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no
Issue01_Windt_Bucci_Milliere,Issue01/Windt_Bucci_Milliere,8,yes,alessio_bucci;jennifer_windt,,,no,missing_mp3,,alessio_bucci:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no; jennifer_windt:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no
Issue02_Fox_Koroma,Issue02/Fox_Koroma,11,yes,kieran_fox,,,no,missing_mp3,,matthieu_koroma:working//gate=warn/ref=yes/fallback=no; kieran_fox:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no
Issue02_Friston_Fortier_Friedman,Issue02/Friston_Fortier_Friedman,12,yes,martin_fortier;karl_friston,,,no,missing_mp3,,martin_fortier:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no; karl_friston:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no
Issue02_Metzinger_Limanowski_Milliere,Issue02/Metzinger_Limanowski_Milliere,12,yes,jakub_limanowski;thomas_metzinger,,,no,missing_mp3,,jakub_limanowski:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no; thomas_metzinger:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no
Issue02_Nichols_Roseman_Timmermann,Issue02/Nichols_Roseman_Timmermann,19,yes,leor_roseman;david_e_nichols,,,no,missing_mp3,,leor_roseman:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no; david_e_nichols:candidate_ready/downloaded_reference_candidate/gate=warn/ref=yes/fallback=no
