interview_id,plan,qa_units,question_voice,answer_voice,status
Issue01/Carhart-Harris_Fortier_Milliere,AudioTranscription\render_plans\Issue01_Carhart-Harris_Fortier_Milliere.json,19,martin_fortier,robin_carhart_harris,needs_voice_profiles
Issue01/Hohwy_Koroma,AudioTranscription\render_plans\Issue01_Hohwy_Koroma.json,10,matthieu_koroma,jakob_hohwy,needs_voice_profiles
Issue01/Luhrmann_Fortier,AudioTranscription\render_plans\Issue01_Luhrmann_Fortier.json,6,martin_fortier,tanya_luhrmann,needs_voice_profiles
Issue01/McCarthy-Jones_Frerejouan,AudioTranscription\render_plans\Issue01_McCarthy-Jones_Frerejouan.json,5,mathieu_frerejouan,simon_mccarthy_jones,needs_voice_profiles
Issue01/Seligman_Halloy,AudioTranscription\render_plans\Issue01_Seligman_Halloy.json,5,arnaud_halloy,rebecca_seligman,needs_voice_profiles
Issue01/Windt_Bucci_Milliere,AudioTranscription\render_plans\Issue01_Windt_Bucci_Milliere.json,8,alessio_bucci,jennifer_windt,needs_voice_profiles
Issue02/Fox_Koroma,AudioTranscription\render_plans\Issue02_Fox_Koroma.json,11,matthieu_koroma,kieran_fox,needs_voice_profiles
Issue02/Friston_Fortier_Friedman,AudioTranscription\render_plans\Issue02_Friston_Fortier_Friedman.json,12,martin_fortier,karl_friston,needs_voice_profiles
Issue02/Metzinger_Limanowski_Milliere,AudioTranscription\render_plans\Issue02_Metzinger_Limanowski_Milliere.json,12,jakub_limanowski,thomas_metzinger,needs_voice_profiles
Issue02/Nichols_Roseman_Timmermann,AudioTranscription\render_plans\Issue02_Nichols_Roseman_Timmermann.json,19,leor_roseman,david_e_nichols,needs_voice_profiles
Issue02/ORegan_Erickson-Davis,AudioTranscription\render_plans\Issue02_ORegan_Erickson-Davis.json,9,cordelia_erickson_davis,kevin_oregan,needs_voice_profiles
Issue02/Ratcliffe_Frerejouan,AudioTranscription\render_plans\Issue02_Ratcliffe_Frerejouan.json,5,mathieu_frerejouan,matthew_ratcliffe,needs_voice_profiles
Issue02/Taves_Fortier_Canna,AudioTranscription\render_plans\Issue02_Taves_Fortier_Canna.json,10,martin_fortier,ann_taves,needs_voice_profiles
Issue03/Bayne_Bucci_Koroma,AudioTranscription\render_plans\Issue03_Bayne_Bucci_Koroma.json,10,alessio_bucci,tim_bayne,needs_voice_profiles
Issue03/Dennett_Fleig-Goldstein_Friedman,AudioTranscription\render_plans\Issue03_Dennett_Fleig-Goldstein_Friedman.json,17,brittany_fleig_goldstein,daniel_dennett,needs_voice_profiles
Issue03/Dienes_Martin,AudioTranscription\render_plans\Issue03_Dienes_Martin.json,4,jean_remi_martin,zoltan_dienes,needs_voice_profiles
Issue03/Preller_Dumas,AudioTranscription\render_plans\Issue03_Preller_Dumas.json,9,guillaume_dumas,katrin_preller,needs_voice_profiles
Issue03/Winkelman_Fortier,AudioTranscription\render_plans\Issue03_Winkelman_Fortier.json,21,martin_fortier,michael_winkelman,needs_voice_profiles
Issue04/Baird_Koroma,AudioTranscription\render_plans\Issue04_Baird_Koroma.json,8,matthieu_koroma,benjamin_baird,needs_voice_profiles
Issue04/Carter_Preller,AudioTranscription\render_plans\Issue04_Carter_Preller.json,12,katrin_preller,olivia_carter,needs_voice_profiles
Issue04/Gosseries_Martial,AudioTranscription\render_plans\Issue04_Gosseries_Martial.json,9,charlotte_martial,olivia_gosseries,needs_voice_profiles
Issue04/Hanks_Mikhailova_Friedman,AudioTranscription\render_plans\Issue04_Hanks_Mikhailova_Friedman.json,7,alexandra_mikhailova,timothy_hanks,needs_voice_profiles
Issue04/Lenggenhager_Ho_Milliere,AudioTranscription\render_plans\Issue04_Lenggenhager_Ho_Milliere.json,16,jasmine_t_ho,bigna_lenggenhager,needs_voice_profiles
Issue04/Vignemont_Milliere_Serrahima,AudioTranscription\render_plans\Issue04_Vignemont_Milliere_Serrahima.json,16,raphael_milliere,frederique_de_vignemont,needs_voice_profiles
Issue05/Canna_Seligman_Koroma,AudioTranscription\render_plans\Issue05_Canna_Seligman_Koroma.json,6,matthieu_koroma,maddalena_canna,needs_voice_profiles
Issue05/Chadha_Aviles_Koroma,AudioTranscription\render_plans\Issue05_Chadha_Aviles_Koroma.json,12,edvard_aviles,monima_chadha,needs_voice_profiles
Issue05/Olson_Yaden_Fejer,AudioTranscription\render_plans\Issue05_Olson_Yaden_Fejer.json,10,george_fejer,david_e_olson,needs_voice_profiles
Issue05/Schmidt_Fejer,AudioTranscription\render_plans\Issue05_Schmidt_Fejer.json,9,george_fejer,timo_torsten_schmidt,needs_voice_profiles
Issue06/Doss_Fejer,AudioTranscription\render_plans\Issue06_Doss_Fejer.json,14,george_fejer,manoj_doss,needs_voice_profiles
Issue06/Gonzalez_Koroma,AudioTranscription\render_plans\Issue06_Gonzalez_Koroma.json,12,matthieu_koroma,juan_gonzalez,needs_voice_profiles
Issue06/Sapolsky_Mikhailova_Friedman,AudioTranscription\render_plans\Issue06_Sapolsky_Mikhailova_Friedman.json,13,alexandra_mikhailova,robert_sapolsky,needs_voice_profiles
Issue06/Skipper_Roseman_Koroma_Fejer,AudioTranscription\render_plans\Issue06_Skipper_Roseman_Koroma_Fejer.json,19,leor_roseman,jeremy_skipper,needs_voice_profiles
Issue07/Froese_Koroma,AudioTranscription\render_plans\Issue07_Froese_Koroma.json,8,matthieu_koroma,tom_froese,
