speaker_slug,speaker_name,roles,interviews,profile_status,source_status,youtube_query,profile_path
alessio_bucci,Alessio Bucci,interviewer,Issue01/Windt_Bucci_Milliere;Issue03/Bayne_Bucci_Koroma,candidate_ready,downloaded_reference_candidate,Alessio Bucci lecture interview consciousness neuroscience,AudioTranscription\profiles\alessio_bucci.json
alexandra_mikhailova,Alexandra Mikhailova,interviewer,Issue04/Hanks_Mikhailova_Friedman;Issue06/Sapolsky_Mikhailova_Friedman,needs_source,needs_source,Alexandra Mikhailova lecture interview consciousness neuroscience,AudioTranscription\profiles\alexandra_mikhailova.json
andrea_ciaunica,Anna Ciaunica,interviewee,Issue06/Ciaunica_Friedman_Coutrot_Koroma,candidate_ready,downloaded_reference_candidate,Anna Ciaunica lecture interview consciousness neuroscience,AudioTranscription\profiles\andrea_ciaunica.json
ann_taves,Ann Taves,interviewee,Issue02/Taves_Fortier_Canna,candidate_ready,downloaded_reference_candidate,Ann Taves lecture interview consciousness neuroscience,AudioTranscription\profiles\ann_taves.json
arnaud_halloy,Arnaud Halloy,interviewer,Issue01/Seligman_Halloy,candidate_ready,downloaded_reference_candidate,Arnaud Halloy lecture interview consciousness neuroscience,AudioTranscription\profiles\arnaud_halloy.json
benjamin_baird,Benjamin Baird,interviewee,Issue04/Baird_Koroma,candidate_ready,downloaded_reference_candidate,Benjamin Baird lecture interview consciousness neuroscience,AudioTranscription\profiles\benjamin_baird.json
bigna_lenggenhager,Bigna Lenggenhager,interviewee,Issue04/Lenggenhager_Ho_Milliere,candidate_ready,downloaded_reference_candidate,Bigna Lenggenhager lecture interview consciousness neuroscience,AudioTranscription\profiles\bigna_lenggenhager.json
brittany_fleig_goldstein,Brendan Fleig-Goldstein,interviewer,Issue03/Dennett_Fleig-Goldstein_Friedman,needs_source,blocked_youtube_source,Brendan Fleig-Goldstein lecture interview cognitive science psychology,AudioTranscription\profiles\brittany_fleig_goldstein.json
carlota_serrahima,Carlota Serrahima,interviewer,Issue04/Vignemont_Milliere_Serrahima,candidate_ready,downloaded_reference_candidate,Carlota Serrahima lecture interview consciousness neuroscience,AudioTranscription\profiles\carlota_serrahima.json
charlotte_martial,Charlotte Martial,interviewee;interviewer,Issue04/Gosseries_Martial;Issue05/Martial,candidate_ready,downloaded_reference_candidate,Charlotte Martial lecture interview consciousness neuroscience,AudioTranscription\profiles\charlotte_martial.json
christopher_timmermann,Christopher Timmermann,interviewer,Issue02/Nichols_Roseman_Timmermann,candidate_ready,downloaded_reference_candidate,Christopher Timmermann lecture interview consciousness neuroscience,AudioTranscription\profiles\christopher_timmermann.json
cordelia_erickson_davis,Cordelia Erickson-Davis,interviewer,Issue02/ORegan_Erickson-Davis,needs_source,needs_source,Cordelia Erickson-Davis lecture interview consciousness neuroscience,AudioTranscription\profiles\cordelia_erickson_davis.json
