speaker_slug,speaker_name,profile_path,profile_status,source_status,reference_review_status,source_audio,source_url,reference_audio,reference_exists,reference_duration_seconds,max_reference_seconds,declared_reference_duration_seconds,declared_duration_delta_seconds,reference_sha_status,reference_sha256,actual_reference_sha256,reference_text_word_count,risk_flags,warnings,profile_gate
alessio_bucci,Alessio Bucci,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\alessio_bucci.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/alessio_bucci/f_5MoCn8rXA.webm,https://www.youtube.com/watch?v=f_5MoCn8rXA,AudioTranscription/references/alessio_bucci/alessio_bucci_youtube_f_5MoCn8rXA_ref_v3.wav,yes,8.850,11.500,8.85,0.000,ok,F8DD995025B04FC047662C888F4FE86BB6FFB97A3384B3D3ECB9CFF92F60E177,F8DD995025B04FC047662C888F4FE86BB6FFB97A3384B3D3ECB9CFF92F60E177,27,,source_audio_missing,warn
alexandra_mikhailova,Alexandra Mikhailova,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\alexandra_mikhailova.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed_caption_window_verified_needs_listening_review,AudioTranscription/references/alexandra_mikhailova/alexandra_mikhailova_youtube_mz7L4GD5g-E_source_section.webm,https://www.youtube.com/watch?v=mz7L4GD5g-E,AudioTranscription/references/alexandra_mikhailova/alexandra_mikhailova_youtube_mz7L4GD5g-E_ref_v3.wav,yes,9.440,11.500,9.44,0.000,ok,02C8283FB74758EFF255ABB5681386C217B279C60118EE7030902D31EB5488F7,02C8283FB74758EFF255ABB5681386C217B279C60118EE7030902D31EB5488F7,14,,,pass
andrea_ciaunica,Anna Ciaunica,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\andrea_ciaunica.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/andrea_ciaunica/what-is-it-like-to-be-in-early-sensory-life-anna-ciaunica.mp3,,AudioTranscription/references/andrea_ciaunica/andrea_ciaunica_youtube_what-is-it-like-to-be-in-early-sensory-life-anna-ciaunica_ref_v2.wav,yes,9.850,11.500,9.85,0.000,ok,79EFCD09250811374758CA74613CB22A2A1C00D51FC7144382714716017EF62A,79EFCD09250811374758CA74613CB22A2A1C00D51FC7144382714716017EF62A,16,,source_audio_missing,warn
ann_taves,Ann Taves,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\ann_taves.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/ann_taves/3V1I2C6rTzM.webm,https://www.youtube.com/watch?v=3V1I2C6rTzM,AudioTranscription/references/ann_taves/ann_taves_youtube_3V1I2C6rTzM_ref_v4.wav,yes,8.900,11.500,8.9,0.000,ok,0C5824F301F94040089C1CB16B3B190AE1FEE229102BA0D930F69642F4A83501,0C5824F301F94040089C1CB16B3B190AE1FEE229102BA0D930F69642F4A83501,19,,source_audio_missing,warn
arnaud_halloy,Arnaud Halloy,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\arnaud_halloy.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed_f5_smoke_passed_needs_full_render_review,AudioTranscription/sources/raw/arnaud_halloy/l-hypothese-des-1.m4a,https://www.canal-u.tv/chaines/mshs-sud-est/jecis-journees-d-etudes-cognition-information-et-societe-2023/l-hypothese-des,AudioTranscription/references/arnaud_halloy/arnaud_halloy_youtube_l-hypothese-des-1_ref_v5.wav,yes,8.450,11.500,8.45,0.000,ok,27CB32241F0AC8B5442579AC9F8225430CF2857A11D45CEFA5215F045861861C,27CB32241F0AC8B5442579AC9F8225430CF2857A11D45CEFA5215F045861861C,24,,source_audio_missing,warn
benjamin_baird,Benjamin Baird,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\benjamin_baird.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/benjamin_baird/uDYBXj_wv78.webm,https://www.youtube.com/watch?v=uDYBXj_wv78,AudioTranscription/references/benjamin_baird/benjamin_baird_youtube_uDYBXj_wv78_ref_v4.wav,yes,8.800,11.500,8.8,0.000,ok,A33B8CA63F13BEB46320E85F85C8D0E6AE0AAC485316DB131E4DA01CCA37FADA,A33B8CA63F13BEB46320E85F85C8D0E6AE0AAC485316DB131E4DA01CCA37FADA,23,,source_audio_missing,warn
bigna_lenggenhager,Bigna Lenggenhager,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\bigna_lenggenhager.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/bigna_lenggenhager/-a4i46lp3Nk.webm,https://www.youtube.com/watch?v=-a4i46lp3Nk,AudioTranscription/references/bigna_lenggenhager/bigna_lenggenhager_youtube_-a4i46lp3Nk_ref_v2.wav,yes,11.350,11.500,11.35,0.000,ok,0390A6B46617B7ABCD54E6B2B388775A266C42D7A014FBBFEB0574CEB103C6F6,0390A6B46617B7ABCD54E6B2B388775A266C42D7A014FBBFEB0574CEB103C6F6,29,,source_audio_missing,warn
brittany_fleig_goldstein,Brendan Fleig-Goldstein,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\brittany_fleig_goldstein.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed_needs_listening_review,AudioTranscription/sources/raw/brittany_fleig_goldstein/joyEOh8vq9s.webm,https://www.youtube.com/watch?v=joyEOh8vq9s,AudioTranscription/references/brittany_fleig_goldstein/brittany_fleig_goldstein_youtube_joyEOh8vq9s_ref_v2.wav,yes,7.850,11.500,7.85,0.000,ok,29781CB8D61E4E9AB3ACA3B08566F8D2AF1848B32791E01ED2C4E3B005FAD2DE,29781CB8D61E4E9AB3ACA3B08566F8D2AF1848B32791E01ED2C4E3B005FAD2DE,18,,source_audio_missing,warn
carlota_serrahima,Carlota Serrahima,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\carlota_serrahima.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/carlota_serrahima/0Dgc_oCSOeI.m4a,https://www.youtube.com/watch?v=0Dgc_oCSOeI,AudioTranscription/references/carlota_serrahima/carlota_serrahima_youtube_0Dgc_oCSOeI_ref_v2.wav,yes,8.950,11.500,8.95,0.000,ok,1843E6B18E2BA300F41BB1C2D1621D93EFA2C421BA3CEB9B5CC7A54672915FA0,1843E6B18E2BA300F41BB1C2D1621D93EFA2C421BA3CEB9B5CC7A54672915FA0,22,,source_audio_missing,warn
charlotte_martial,Charlotte Martial,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\charlotte_martial.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/charlotte_martial/PofqcPLOPIE.webm,https://www.youtube.com/watch?v=PofqcPLOPIE,AudioTranscription/references/charlotte_martial/charlotte_martial_youtube_PofqcPLOPIE_ref_v2.wav,yes,7.300,11.500,7.3,0.000,ok,36385CEE48434962C200F968986EA103642EB40D36D1ED870AE927B20941E64D,36385CEE48434962C200F968986EA103642EB40D36D1ED870AE927B20941E64D,19,,source_audio_missing,warn
christopher_timmermann,Christopher Timmermann,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\christopher_timmermann.json,candidate_ready,downloaded_reference_candidate,asr_spotcheck_passed,AudioTranscription/sources/raw/christopher_timmermann/N-GBRdN1DdM.webm,https://www.youtube.com/watch?v=N-GBRdN1DdM,AudioTranscription/references/christopher_timmermann/christopher_timmermann_youtube_N-GBRdN1DdM_ref_v2.wav,yes,9.800,11.500,9.8,0.000,ok,7DB5817002174600D366CE8C90A10ECED478A2B3D9D353BCB8A3EED4BAC5B8BF,7DB5817002174600D366CE8C90A10ECED478A2B3D9D353BCB8A3EED4BAC5B8BF,28,,source_audio_missing,warn
cordelia_erickson_davis,Cordelia Erickson-Davis,C:\Users\cogpsy-vrlab\Documents\GitHub\ALIUS-bulletin\AudioTranscription\profiles\cordelia_erickson_davis.json,candidate_ready,kokoro_fallback_reference_generated,kokoro_fallback_generated_not_real_voice_clone,AudioTranscription/references/fallback/cordelia_erickson_davis/cordelia_erickson_davis_kokoro_af_aoede_ref.wav,,AudioTranscription/references/fallback/cordelia_erickson_davis/cordelia_erickson_davis_kokoro_af_aoede_ref.wav,yes,8.533,11.500,8.533,0.000,ok,AF976A094E0E755C698F85F68B5F0F8EF6DEBCF90112B253C02BFBC962D91AAF,AF976A094E0E755C698F85F68B5F0F8EF6DEBCF90112B253C02BFBC962D91AAF,15,,reference_needs_asr_or_listening_review,warn
