issue,piece_type,title,authors,doi,doi_url,doi_redirect_url,redirect_http_status,resolution_error,checked_at_utc,source_tex
Issue01,interview,Consciousness and psychedelics,Robin Carhart-Harris Interviewed by Martin Fortier & Raphael Milliere,10.34700/m5ky-6w96,https://doi.org/10.34700/m5ky-6w96,https://aliusresearch.org/bulletin01-carhartharrisinterview.html,200,,2026-05-17T17:06:08Z,Interviews/Issue01/Carhart-Harris_Fortier_Milliere/Carhart-Harris_Fortier_Milliere.tex
Issue01,interview,On different ways of being conscious: modes of consciousness and the predictive mind,Jakob Hohwy Interviewed by Matthieu Koroma,10.34700/8yq5-pv76,https://doi.org/10.34700/8yq5-pv76,https://aliusresearch.org/bulletin01-hohwyinterview.html,200,,2026-05-17T17:06:08Z,Interviews/Issue01/Hohwy_Koroma/Hohwy_Koroma.tex
Issue01,interview,The anthropology of mind: exploring unusual sensations and spiritual experiences across cultures,Tanya Luhrmann Interviewed by Martin Fortier,10.34700/7ppf-h459,https://doi.org/10.34700/7ppf-h459,https://aliusresearch.org/bulletin01-luhrmanninterview.html,200,,2026-05-17T17:06:08Z,Interviews/Issue01/Luhrmann_Fortier/Luhrmann_Fortier.tex
Issue01,interview,The phenomenon of voice-hearing: an interdisciplinary approach,Simon McCarthy-Jones Interviewed by Mathieu Frerejouan,10.34700/pmnr-8325,https://doi.org/10.34700/pmnr-8325,https://aliusresearch.org/bulletin01-mccarthyjonesinterview.html,200,,2026-05-17T17:06:08Z,Interviews/Issue01/McCarthy-Jones_Frerejouan/McCarthy-Jones_Frerejouan.tex
Issue01,interview,Towards a biocultural approach to dissociative consciousness,Rebecca Seligman Interviewed by Arnaud Halloy,10.34700/x80s-k850,https://doi.org/10.34700/x80s-k850,https://aliusresearch.org/bulletin01-seligmaninterview.html,200,,2026-05-17T17:06:08Z,Interviews/Issue01/Seligman_Halloy/Seligman_Halloy.tex
Issue01,interview,Relocating dreams on the conceptual map: how the analysis of sleep and dreaming challenges our taxonomy of mental states,Jennifer Windt Interviewed by Alessio Bucci & Raphael Milliere,10.34700/xhfg-wq83,https://doi.org/10.34700/xhfg-wq83,https://aliusresearch.org/bulletin01-windtinterview.html,200,,2026-05-17T17:06:08Z,Interviews/Issue01/Windt_Bucci_Milliere/Windt_Bucci_Milliere.tex
Issue02,biography,Am I autistic? An intellectual autobiography,"Karl Friston, Martin Fortier, Matthieu Koroma, and Raphaël Millière",10.34700/q2qt-2y52,https://doi.org/10.34700/q2qt-2y52,https://aliusresearch.org/bulletin02-fristonbiography.html,200,,2026-05-17T17:06:08Z,Interviews/Issue02/Friston/Friston.tex
Issue02,interview,"Wandering along the spectrum of spontaneous thinking: Dreaming, meditation, mind-wandering, and well-being",Kieran Fox Interviewed by Matthieu Koroma,10.34700/m6kp-c494,https://doi.org/10.34700/m6kp-c494,https://aliusresearch.org/bulletin02-foxinterview.html,200,,2026-05-17T17:06:08Z,Interviews/Issue02/Fox_Koroma/Fox_Koroma.tex
Issue02,interview,"Of woodlice and men: A Bayesian account of cognition, life and consciousness",Karl Friston Interviewed by Martin Fortier & Daniel A. Friedman,10.34700/h460-nz89,https://doi.org/10.34700/h460-nz89,https://aliusresearch.org/bulletin02-fristoninterview.html,200,,2026-05-17T17:06:08Z,Interviews/Issue02/Friston_Fortier_Friedman/Friston_Fortier_Friedman.tex
Issue02,interview,Splendor and misery of self-models: Conceptual and empirical issues regarding consciousness and self-consciousness,Thomas Metzinger Interviewed by Jakub Limanowski & Raphael Milliere,10.34700/epgh-at59,https://doi.org/10.34700/epgh-at59,https://aliusresearch.org/bulletin02-metzingerinterview.html,200,,2026-05-17T17:06:08Z,Interviews/Issue02/Metzinger_Limanowski_Milliere/Metzinger_Limanowski_Milliere.tex
